"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Vito\dev-events\frontend\public\icons\calendar.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Vito\dev-events\frontend\public\icons\dollars.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\eenamad.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\public\icons\food.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\index.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Vito\dev-events\frontend\public\icons\location-white.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\location.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\login.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\logo.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Vito\dev-events\frontend\public\icons\menu.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\message.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\mobile.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\notifaction.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Vito\dev-events\frontend\public\icons\people-red.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Vito\dev-events\frontend\public\icons\people.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\play.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Vito\dev-events\frontend\public\icons\price.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\primary-app-icon.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Vito\dev-events\frontend\public\icons\save.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\search-icon-searchbar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\search.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\share.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\dribble.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\social\facebook.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\index.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Vito\dev-events\frontend\public\icons\social\instagram-outline.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\social\instagram.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\linkedin.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\telegram.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\twitter.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\whatsapp.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\star-outline.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\star.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Vito\dev-events\frontend\public\icons\support.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Vito\dev-events\frontend\public\icons\thin-email.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\thin-location.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\time.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\timer.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\zarinpaal.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\public\index.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Vito\dev-events\frontend\public\logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Vito\dev-events\frontend\store\readme.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Vito\dev-events\frontend\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 183, 0, 0, 21, 204
"c:\Vito\dev-events\frontend\styles\index.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\tailwind.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 1, 22
"c:\Vito\dev-events\frontend\tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Vito\dev-events\frontend\types\event.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\Vito\dev-events\frontend\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"Total", "-", 28, 32, 80, 1927, 517, 356, 183, 7026, 20, 549, 10718
